county,high_burden_count,high_burden_share
Los Angeles,870,0.3713188220230474
San Bernardino,119,0.3224932249322493
Fresno ,104,0.5226130653266332
Riverside ,76,0.16777041942604856
San Joaquin,52,0.37410071942446044
Stanislaus ,50,0.5319148936170213
Kern ,48,0.31788079470198677
Orange ,45,0.07731958762886598
Sacramento ,34,0.10725552050473186
Merced ,30,0.6122448979591837
San Diego,25,0.03987240829346093
Alameda ,24,0.06666666666666667
Tulare ,24,0.3076923076923077
Contra Costa,16,0.07729468599033816
Santa Clara,13,0.03494623655913978
Imperial ,12,0.3870967741935484
San Francisco,7,0.035897435897435895
Madera ,7,0.30434782608695654
Kings ,7,0.25925925925925924
Ventura ,5,0.028901734104046242
San Mateo,4,0.025477707006369428
Solano ,3,0.03125
Yolo ,3,0.07317073170731707
Butte ,2,0.0392156862745098
Monterey ,2,0.021505376344086023
Yuba ,2,0.14285714285714285
Sutter ,1,0.047619047619047616
Santa Cruz,1,0.019230769230769232
